text,is_scam
Can you send me the document by Friday?,0
Thanks for your help with the presentation.,0
What time should we meet for lunch?,0
CONGRATULATIONS! You won $1000 Amazon gift card! !!!,1
Unusual activity detected. Login immediately.,1
I really enjoyed the movie last night.,0
Let's catch up over coffee this weekend.,0
90% discount today only! Click here.,1
Don't forget to pick up groceries on your way home.,0
Thanks for your help with the presentation.,0
the project meeting is at 3pm tomorrow.,0
Unusual activity detected. Login immediately.,1
Happy Birthday! Hope you have a great day!,0
DOUBLE YOUR BITCOIN IN 24 HOURS! LIMITED OFFER.,1
Unusual activity detected. Login immediately.,1
FREE $500! LIMITED TIME ONLY. !!!,1
90% DISCOUNT TODAY ONLY! CLICK HERE. !!!,1
Happy Birthday! Hope you have a great day!,0
"You're approved for $50,000 loan. Click here.",1
IMMEDIATE ACTION REQUIRED. ACCOUNT SUSPENDED.,1
"Hey, how are you doing today?",0
"Hey, how are you doing today?",0
Thanks for your help with the presentation.,0
YOUR ACCOUNT HAS BEEN SUSPENDED. VERIFY NOW! !!!,1
SOMEONE TRIED TO LOGIN TO YOUR ACCOUNT. VERIFY NOW.,1
Happy Birthday! Hope you have a great day!,0
Thanks for your help with the presentation.,0
Thanks for your help with the presentation.,0
Thanks for your help with the presentation.,0
90% discount today only! Click here.,1
Let's catch up over coffee this weekend.,0
Happy Birthday! Hope you have a great day!,0
GUARANTEED 500% RETURNS. INVEST NOW!,1
don't forget to pick up groceries on your way home.,0
Double your Bitcoin in 24 hours! Limited offer. !!!,1
URGENT: Your account will be deleted!,1
don't forget to pick up groceries on your way home.,0
Immediate action required. Account suspended.,1
Your account has been suspended. Verify now!,1
URGENT: Your account will be deleted!,1
90% discount today only! Click here.,1
I really enjoyed the movie last night.,0
Guaranteed 500% returns. Invest now! !!!,1
90% DISCOUNT TODAY ONLY! CLICK HERE. !!!,1
Can you send me the document by Friday?,0
Unusual activity detected. Login immediately.,1
"Hey, how are you doing today?",0
let's catch up over coffee this weekend.,0
Don't forget to pick up groceries on your way home.,0
"Hey, how are you doing today?",0
don't forget to pick up groceries on your way home.,0
"Hey, how are you doing today?",0
FREE $500! LIMITED TIME ONLY.,1
Let's catch up over coffee this weekend.,0
Happy Birthday! Hope you have a great day!,0
YOU'RE THE LUCKY WINNER OF OUR LOTTERY! CLAIM PRIZE.,1
The weather is beautiful today.,0
Immediate action required. Account suspended.,1
URGENT: YOUR ACCOUNT WILL BE DELETED!,1
90% DISCOUNT TODAY ONLY! CLICK HERE. !!!,1
URGENT: Your account will be deleted! !!!,1
GUARANTEED 500% RETURNS. INVEST NOW! !!!,1
VERIFY YOUR PASSWORD HERE: SECURE-LOGIN.COM !!!,1
90% discount today only! Click here.,1
FREE $500! Limited time only.,1
Thanks for your help with the presentation.,0
"Hey, how are you doing today?",0
Don't forget to pick up groceries on your way home.,0
DOUBLE YOUR BITCOIN IN 24 HOURS! LIMITED OFFER.,1
Thanks for your help with the presentation.,0
i really enjoyed the movie last night.,0
Can you send me the document by Friday?,0
90% DISCOUNT TODAY ONLY! CLICK HERE.,1
