text,label
"Win big prizes today, act fast",scam
Let's catch up this weekend,safe
"Happy birthday, have a great day",safe
Please review the document,safe
"Win big prizes today, act fast",scam
Can we talk later?,safe
"Happy birthday, have a great day",safe
Limited time offer: get gift card now,scam
Please review the document,safe
"Exclusive deal just for you, claim now",scam
"You have won a free gift card, claim now",scam
Please review the document,safe
Click here to claim your bonus,scam
"Happy birthday, have a great day",safe
"Hey, how are you doing today",safe
Security alert: update your bank details,scam
Security alert: update your bank details,scam
"You have won a free laptop, claim now",scam
Are you coming to the meeting?,safe
Limited time offer: get car now,scam
Can we talk later?,safe
Please review the document,safe
"Your payment failed, update details now",scam
"Urgent: your account is suspended, verify immediately",scam
"Your payment failed, update details now",scam
Can we talk later?,safe
Let's catch up this weekend,safe
"Exclusive deal just for you, claim now",scam
Congratulations! You are selected for free bonus,scam
"Win big prizes today, act fast",scam
Are you coming to the meeting?,safe
Let's catch up this weekend,safe
Can we talk later?,safe
"Your payment failed, update details now",scam
See you soon,safe
"Happy birthday, have a great day",safe
"Get cashback instantly, click here",scam
Please review the document,safe
"Your payment failed, update details now",scam
Let's catch up this weekend,safe
"Happy birthday, have a great day",safe
"Urgent: your account is suspended, verify immediately",scam
See you soon,safe
"Your payment failed, update details now",scam
Can we talk later?,safe
"Your payment failed, update details now",scam
Let's meet tomorrow at 6 PM,safe
"Get cashback instantly, click here",scam
"Exclusive deal just for you, claim now",scam
Please review the document,safe
Call me when you're free,safe
"Your payment failed, update details now",scam
Click here to claim your bonus,scam
Are you coming to the meeting?,safe
Security alert: update your bank details,scam
"Win big prizes today, act fast",scam
Click here to claim your gift,scam
Limited time offer: get iPhone now,scam
"You have won a free iPhone, claim now",scam
Please review the document,safe
"Hey, how are you doing today",safe
Dinner tonight?,safe
"Urgent: your account is suspended, verify immediately",scam
Can we talk later?,safe
Call me when you're free,safe
"Your payment failed, update details now",scam
"Exclusive deal just for you, claim now",scam
"Exclusive deal just for you, claim now",scam
Please review the document,safe
Please review the document,safe
Click here to claim your bonus,scam
Call me when you're free,safe
Security alert: update your bank details,scam
Let's catch up this weekend,safe
"Get cashback instantly, click here",scam
"Urgent: your account is suspended, verify immediately",scam
Limited time offer: get laptop now,scam
Security alert: update your bank details,scam
"Win big prizes today, act fast",scam
See you soon,safe
"You have won a free gift card, claim now",scam
Let's meet tomorrow at 5 PM,safe
